District,Degree_M_F,Subjects,Optional_Subjects,No_Fail_Paper,Pass_Fail_Abscent,Age,Metric_Inter_Board,Religion,Gender,Reg_Type,Metric_Annual_Supply,Metric_Division,Metric_Mjor_Sub,Inter_Annual_Supply,Inter_Division,Inter_Major_Sub,BA_DIV
1,A,F,2,2,F,A,2,M,M,R,A,B,S ,A,B,A ,F
1,A,F,2,1,F,B,1,M,M,P,S,D,S ,A,C,A ,F
1,A,E,6,0,P,B,1,M,M,P,A,B,S ,A,B,A ,B
1,A,F,2,0,P,A,4,M,M,P,S,B,S ,A,B,A ,B
1,A,E,6,0,P,B,1,M,M,P,A,B,S ,A,B,A ,B
1,A,F,2,0,P,B,1,M,M,P,A,C,S ,A,B,A ,B
1,A,F,2,0,P,A,1,M,M,P,A,A,S ,A,B,A ,B
1,A,F,2,0,P,B,1,M,M,P,A,C,S ,A,B,A ,B
1,A,F,2,0,P,A,1,H,M,P,A,B,A ,A,A,A ,B
1,A,F,2,0,P,B,1,M,M,P,A,B,A ,A,A,A ,B
1,A,F,2,2,F,B,1,M,M,P,A,D,S ,A,C,A ,F
1,A,F,2,2,F,B,1,M,M,P,A,C,S ,A,D,A ,F
1,A,F,2,0,P,B,1,M,M,P,A,C,A ,A,B,A ,B
1,A,F,5,2,F,A,1,M,M,P,A,D,S ,A,C,A ,F
1,A,G,2,0,P,B,1,M,M,P,A,B,S ,A,B,A ,B
1,A,G,2,0,P,B,1,M,M,P,A,B,S ,A,A,A ,B
1,A,F,6,2,F,B,1,M,M,P,A,D,S ,A,C,A ,F
1,A,E,6,0,P,B,1,M,M,P,A,C,S ,A,B,A ,B
1,A,F,6,2,F,A,1,M,M,P,A,D,S ,A,B,A ,F
1,A,F,6,1,F,A,1,M,M,P,A,D,S ,A,C,A ,F
1,A,F,6,2,F,B,1,M,M,P,A,B,S ,A,C,A ,F
1,A,E,6,0,P,B,1,M,M,P,A,B,S ,A,C,A ,B
1,A,F,6,2,F,A,1,M,M,P,A,D,S ,A,D,A ,F
1,A,E,6,2,F,B,1,M,M,P,A,B,A ,A,C,A ,F
1,A,E,6,0,P,A,1,M,M,P,A,B,S ,A,B,A ,B
1,A,F,6,2,F,B,4,M,M,P,A,C,A ,A,D,A ,F
1,A,F,2,0,P,A,1,M,M,P,A,B,S ,A,C,A ,B
1,A,F,6,0,P,A,4,H,M,P,A,D,A ,A,B,A ,B
1,A,E,6,0,P,A,1,M,M,P,A,D,S ,S,B,A ,B
1,A,F,6,0,P,B,4,M,M,P,A,B,S ,A,B,A ,B
1,A,F,2,0,P,A,1,M,M,P,A,C,S ,A,B,A ,B
1,A,E,6,0,P,A,1,M,M,P,A,D,S ,A,C,A ,B
1,A,E,6,0,P,B,1,C,M,P,S,D,S ,A,B,A ,B
1,A,E,6,0,P,B,1,M,M,P,S,C,S ,A,C,A ,B
1,A,E,2,0,P,A,1,M,M,P,A,C,A ,A,C,A ,B
1,A,E,6,1,F,B,1,M,M,R,A,C,S ,A,D,A ,F
1,A,F,2,0,P,B,1,M,M,P,A,D,S ,A,B,A ,B
1,A,E,6,0,P,A,1,M,M,P,A,D,S ,A,C,A ,B
1,A,F,6,0,P,A,1,M,M,P,S,D,S ,S,C,A ,B
1,A,E,6,6,F,B,1,M,M,R,A,B,S ,A,C,A ,F
1,A,F,6,6,F,A,1,M,M,P,A,D,S ,A,C,A ,F
1,A,F,6,0,P,B,1,M,M,R,A,B,S ,A,D,A ,B
1,A,E,6,1,F,B,1,M,M,P,A,B,S ,A,C,A ,F
1,A,E,6,0,P,B,1,M,M,P,A,D,A ,A,C,A ,B
1,A,F,2,0,P,B,1,M,M,P,A,D,S ,A,B,A ,B
1,A,E,6,0,P,B,1,M,M,P,A,B,S ,A,C,A ,B
1,A,E,6,0,P,B,1,M,M,P,A,B,S ,S,C,A ,B
1,A,F,2,1,F,B,1,M,M,P,A,D,S ,A,B,A ,F
1,A,E,6,0,P,B,1,M,M,P,S,B,S ,A,C,A ,B
1,A,E,6,0,P,A,1,H,M,P,A,B,S ,S,C,A ,B
1,A,E,6,0,P,B,1,M,M,P,S,B,S ,S,B,A ,B
1,A,E,6,0,P,B,1,M,M,P,A,D,S ,S,B,A ,B
1,A,E,6,2,P,A,1,M,M,P,A,C,S ,A,D,A ,B
1,A,F,2,1,F,B,1,M,M,P,A,D,S ,A,D,A ,F
1,A,F,2,0,P,A,1,M,M,P,A,C,A ,A,B,A ,B
1,A,F,2,0,P,B,1,M,M,P,S,B,S ,A,B,A ,B
1,A,F,2,0,P,A,1,M,M,P,A,C,S ,A,C,A ,B
1,A,F,2,0,P,A,1,M,M,P,A,B,S ,A,C,A ,B
1,A,F,2,0,P,B,1,M,M,P,A,D,S ,S,D,A ,B
1,A,E,6,2,P,A,1,M,M,P,A,C,S ,A,C,A ,B
1,A,F,2,0,P,B,1,M,M,P,A,B,A ,A,C,A ,B
1,A,F,2,0,P,A,2,M,M,P,A,A,A ,A,C,A ,B
1,A,F,2,0,P,B,2,M,M,P,A,B,S ,A,C,A ,B
1,A,F,2,0,P,A,2,M,M,P,A,B,S ,A,B,A ,B
1,A,F,2,0,P,A,1,M,M,P,A,B,S ,A,B,A ,B
1,A,F,2,0,P,A,1,M,M,P,A,A,S ,A,B,A ,B
1,A,F,2,0,P,A,1,M,M,P,A,A,S ,A,C,A ,B
1,A,F,2,1,F,B,5,M,M,P,A,B,S ,A,C,A ,F
1,A,E,6,0,P,A,1,M,M,P,A,B,S ,A,B,A ,B
1,A,E,6,0,P,A,1,M,M,P,A,B,S ,A,B,A ,B
1,A,E,6,0,P,A,1,M,M,P,A,D,S ,A,C,A ,B
1,A,F,2,0,P,B,1,M,M,P,A,B,S ,A,C,A ,B
1,A,F,2,1,F,B,1,M,M,P,A,D,S ,A,D,A ,F
1,A,F,2,0,P,A,1,M,M,P,A,B,S ,A,B,A ,B
1,A,F,2,0,P,B,1,M,M,P,A,B,S ,A,C,A ,B
1,A,F,2,0,P,A,1,M,M,P,A,D,S ,A,B,A ,B
